frame,eng_chars,rus_chars,eng_rus_chars,eng_seconds,rus_seconds,eng_rus_seconds,error
001 - 00-00-00.png,0,0,0,0.327,0.327,0.447,
002 - 00-10-40.png,0,0,0,0.319,0.319,0.449,
003 - 00-10-44.png,0,0,0,0.307,0.32,0.445,
004 - 00-20-05.png,0,0,0,0.303,0.325,0.454,
005 - 00-21-36.png,461,450,462,0.5,0.544,0.73,
006 - 00-23-07.png,464,455,463,0.501,0.539,0.725,
007 - 00-23-41.png,0,0,0,0.294,0.322,0.448,
008 - 00-24-47.png,192,191,193,0.381,0.411,0.615,
009 - 00-29-18.png,0,0,0,0.299,0.322,0.447,
010 - 00-31-32.png,32,31,29,0.358,0.393,0.546,
011 - 00-31-42.png,0,0,0,0.314,0.341,0.469,
012 - 00-32-57.png,0,0,0,0.27,0.297,0.427,
013 - 00-33-01.png,0,0,0,0.294,0.319,0.445,
014 - 00-34-53.png,0,0,0,0.234,0.261,0.385,
015 - 00-35-17.png,0,0,0,0.236,0.26,0.397,
016 - 00-39-58.png,55,52,53,0.335,0.357,0.52,
017 - 00-40-20.png,0,0,0,0.291,0.321,0.45,
018 - 00-44-40.png,0,0,0,0.307,0.321,0.446,
019 - 00-51-59.png,269,228,271,0.544,0.576,0.836,
020 - 00-52-44.png,70,81,71,0.323,0.341,0.525,
021 - 00-52-51.png,369,293,338,0.577,0.654,0.94,
022 - 00-52-56.png,316,258,286,0.538,0.613,0.869,
023 - 00-53-00.png,393,345,380,0.577,0.645,0.968,
024 - 00-54-04.png,218,180,214,0.753,0.785,1.006,
025 - 00-54-38.png,335,340,319,0.593,0.617,0.999,
026 - 00-56-00.png,112,99,99,0.359,0.388,0.591,
027 - 00-57-27.png,440,490,444,0.76,0.794,1.402,
028 - 00-58-12.png,258,315,265,0.524,0.557,0.92,
029 - 01-00-20.png,573,643,573,0.75,0.788,1.346,
030 - 01-00-51.png,765,850,835,1.202,1.258,1.825,
031 - 01-01-28.png,785,847,794,1.263,1.279,1.833,
032 - 01-01-34.png,2788,2536,2807,1.334,1.716,2.568,
033 - 01-05-26.png,2188,1946,2168,1.051,1.363,2.139,
034 - 01-05-30.png,71,69,70,0.343,0.371,0.56,
035 - 01-05-40.png,47,60,50,0.328,0.363,0.524,
036 - 01-05-42.png,86,75,81,0.376,0.399,0.589,
037 - 01-05-47.png,91,82,88,0.399,0.412,0.651,
038 - 01-05-51.png,60,63,63,0.349,0.375,0.528,
039 - 01-05-59.png,49,40,40,0.339,0.369,0.515,
040 - 01-06-11.png,130,152,137,0.485,0.52,0.862,
041 - 01-06-16.png,89,80,87,0.382,0.399,0.622,
042 - 01-06-20.png,133,144,129,0.458,0.502,0.765,
043 - 01-06-30.png,48,40,40,0.338,0.366,0.517,
044 - 01-06-41.png,63,62,62,0.373,0.39,0.572,
045 - 01-06-46.png,90,78,84,0.376,0.406,0.615,
046 - 01-06-51.png,47,40,40,0.344,0.368,0.548,
047 - 01-06-59.png,39,37,37,0.321,0.345,0.503,
048 - 01-07-09.png,104,93,99,0.407,0.431,0.641,
049 - 01-07-13.png,87,75,81,0.37,0.405,0.585,
050 - 01-07-19.png,178,223,177,0.496,0.519,0.857,
051 - 01-07-29.png,46,40,40,0.343,0.365,0.519,
052 - 01-07-40.png,101,84,90,0.413,0.42,0.634,
053 - 01-07-44.png,89,77,83,0.381,0.409,0.642,
054 - 01-07-50.png,48,40,40,0.339,0.37,0.548,
055 - 01-08-00.png,48,40,40,0.339,0.365,0.512,
056 - 01-08-10.png,50,60,50,0.336,0.352,0.521,
057 - 01-08-14.png,109,104,106,0.395,0.429,0.637,
058 - 01-08-19.png,94,92,98,0.383,0.404,0.598,
